scan,dataset,family,fiber,magnets,config,trial,axis,file,index,z_mm,cx_px,cy_px,dx_px,dy_px,dx_um,dy_um,d_maj_um,d_min_um,azimuth_deg,power,background,noise_sigma,peak,saturated,aperture_factor,clipped,stray_removed,lobe_at_edge,converged,aspect_outlier,used_in_fit_x,used_in_fit_y
105_Step index/H,105_Step index,step-index,105,,,1,H,image_01.png,1,10.0,275.3383794704274,549.6218587861874,457.16361048795085,465.88648952221735,1577.2144561834305,1607.3083888516499,1573.7198359348288,1610.7301374383414,72.2020172702012,4212265.0,0.0,0.3075024867184073,190,False,1.6,True,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_02.png,2,20.0,240.53802277819796,567.9809898837104,382.7746501281395,394.1882375240222,1320.5725429420813,1359.9494194578767,1320.433272955872,1360.0846430746049,-86.62752743595482,3535486.0,0.0,0.574834137531237,217,False,1.6,True,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_03.png,3,30.0,188.95930523888129,563.5672903210717,325.91416067500734,337.0156693344707,1124.4038543287754,1162.704059203924,1116.2416981548877,1170.5422795520803,-67.43242307561016,2821862.0,0.0,2.164698799645669,206,False,1.6,True,0,True,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_04.png,4,40.0,296.1878648240319,548.6793262551726,290.5448092918666,294.59230995941516,1002.3795920569398,1016.3434693599824,987.8474975431503,1030.4737822383734,-54.56321115372109,1348938.0,0.0,0.0021134848569625097,169,False,2.0388446487543104,False,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_05.png,5,50.0,367.22426901925854,566.5668915989921,284.15763450706413,286.20429262234546,980.3438390493714,987.4048095470919,961.5489044014573,1005.7166624468077,-49.60072985644443,1351814.0,0.0,0.002988912273040612,150,False,2.584651787774714,False,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_06.png,6,60.0,474.1140455274497,564.2955376455313,301.72126762550016,302.516466057968,1040.9383733079756,1043.6818078999895,1027.422921998562,1056.9893814596162,-47.6622971782569,1348593.0,0.0,0.0021134848569625097,182,False,3.0,False,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_07.png,7,70.0,477.78702351642465,571.9992805080025,336.9289328229035,337.32802612685606,1162.4048182390172,1163.7816901376534,1151.758302089954,1174.3192058941224,-46.749524450009446,1459363.0,0.0,0.002988912273040612,106,False,2.836129384991457,False,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_08.png,8,80.0,480.6088167231362,574.6738465019486,394.4373393048194,393.2349746030498,1360.8088206016268,1356.660662380522,1366.872494846324,1350.551140057471,-37.63810483500412,2059518.0,0.0,0.0021134848569625097,105,False,2.4369336714936307,False,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_09.png,9,90.0,485.9013793053409,572.2634920634921,448.4561426430121,446.7501641260074,1547.1736921183917,1541.2880662347256,1547.4445415903404,1541.0161346991463,11.85691402964748,2067345.0,0.0,0.005176901666475395,101,False,2.166996203649447,False,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_10.png,10,100.0,488.7644758275979,574.416059552705,510.38963875555,503.4389398289367,1760.8442537066476,1736.8643424098318,1761.3822290181595,1736.318770573387,8.454300938175688,2154730.0,0.0,0.0140179261014401,100,False,1.9152601805135412,False,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_11.png,11,110.0,488.71318308496603,576.2205878527056,590.6273997116311,577.0854906077495,2037.6645290051276,1990.944942596736,2037.804318167667,1990.8018630879415,-3.1443328282459446,3113467.0,0.0,0.04424026520796851,86,False,1.6548863931265196,False,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_12.png,12,120.0,496.4942929704715,576.3724619654317,667.8656135349914,649.1002817300331,2304.1363666957204,2239.395971968614,2309.695949047565,2233.661419855812,-15.812771892826772,4676601.0,0.0,0.1995228643915926,115,False,1.6,True,0,False,True,False,True,True
105_Step index/H,105_Step index,step-index,105,,,1,H,image_13.png,13,130.0,498.013021258697,575.4319351854751,735.6304090093658,715.1015368100353,2537.9249110823125,2467.100301994622,2545.1532815604232,2459.6425609743233,-17.038153089860394,4726348.0,0.0,0.49638700459741814,96,False,1.6,True,0,False,True,False,True,True
