scan,dataset,family,fiber,magnets,config,trial,axis,n_frames,M2x,M2x_err,M2y,M2y_err,M2_mean,d0x_um,d0y_um,z0x_mm,z0y_mm,zRx_mm,zRy_mm,thetax_mrad,thetay_mrad,R2x,R2y,iso_sampling_ok,n_rejected_x,n_rejected_y,n_saturated,n_clipped,note
105_Step index/H,105_Step index,step-index,105,,,1,H,14,43.089,0.717,43.299,0.669,43.194,1014.571,1041.897,49.612,50.824,35.267,37.012,28.768,28.15,0.9975,0.9968,False,0,0,0,6,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 14/7/2)"
105_Step index/V,105_Step index,step-index,105,,,1,V,12,40.65,0.664,40.309,0.526,40.479,981.807,1001.903,54.834,54.644,35.009,36.764,28.045,27.252,0.9894,0.9924,False,0,0,0,4,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 12/8/0); ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 12/7/0)"
105_Step index_0 Magnets Trial 1/H,105_Step index_0 Magnets Trial 1,step-index,105,0,Baseline,1,H,11,41.642,0.112,41.951,0.421,41.797,1116.71,1118.205,35.611,35.312,44.21,44.003,25.259,25.412,0.9999,0.999,False,0,0,0,1,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/7/0)"
105_Step index_0 Magnets Trial 1/V,105_Step index_0 Magnets Trial 1,step-index,105,0,Baseline,1,V,11,44.59,0.483,42.878,0.315,43.734,1139.725,1121.03,38.735,35.127,43.007,43.269,26.501,25.908,0.9981,0.9995,False,0,0,0,3,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/7/0); ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/8/0)"
105_Step index_0 Magnets Trial 2/H,105_Step index_0 Magnets Trial 2,step-index,105,0,Baseline,2,H,11,42.394,0.299,41.69,0.285,42.042,1123.904,1117.942,34.225,33.353,43.988,44.257,25.55,25.26,0.9995,0.9996,False,0,0,0,1,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/7/0)"
105_Step index_0 Magnets Trial 2/V,105_Step index_0 Magnets Trial 2,step-index,105,0,Baseline,2,V,11,44.119,0.395,42.836,0.321,43.477,1141.408,1111.196,36.205,34.965,43.594,42.555,26.182,26.112,0.999,0.9994,False,0,0,0,3,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/7/0)"
105_Step index_0 Magnets Trial 3/H,105_Step index_0 Magnets Trial 3,step-index,105,0,Baseline,3,H,11,41.031,0.161,41.051,0.15,41.041,1109.615,1103.744,34.706,35.008,44.301,43.811,25.047,25.193,0.9998,0.9999,False,0,0,0,1,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/7/0)"
105_Step index_0 Magnets Trial 3/V,105_Step index_0 Magnets Trial 3,step-index,105,0,Baseline,3,V,11,41.884,0.274,41.933,0.117,41.909,1130.289,1114.674,36.33,35.162,45.031,43.744,25.1,25.482,0.9995,0.9999,False,0,0,0,4,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/7/0); ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/8/0)"
105_Step index_25 Magnets Alternating Trial 1/H,105_Step index_25 Magnets Alternating Trial 1,step-index,105,25,Alternating,1,H,11,38.709,0.731,39.52,0.674,39.115,1105.899,1140.29,30.964,30.817,46.644,48.572,23.709,23.476,0.9975,0.9979,False,0,0,0,1,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/7/0)"
105_Step index_25 Magnets Alternating Trial 1/V,105_Step index_25 Magnets Alternating Trial 1,step-index,105,25,Alternating,1,V,11,44.084,1.819,40.262,0.57,42.173,1163.887,1144.505,38.204,30.593,45.365,48.031,25.656,23.829,0.9769,0.9986,False,0,0,0,0,"ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/7/0); ISO 11146 sampling not met (need >=10 points, >=5 within 1 z_R and >=5 beyond 2 z_R; have 11/8/0)"
