fiber_um,magnets,config,axis,n_trials,M2_mean,M2_sd,M2_sem,waist_d0_um,theta_mrad
105,0,Baseline,H,3,41.627,0.526,0.215,1115.02,25.287
105,0,Baseline,V,3,43.04,1.113,0.455,1126.387,25.881
105,25,Alternating,H,3,40.195,1.094,0.447,1065.56,25.698
105,25,Alternating,V,3,41.442,1.466,0.598,1093.142,25.769
105,25,Normal,H,4,41.346,0.9,0.318,1102.03,25.569
105,25,Normal,V,4,41.888,1.236,0.437,1106.697,25.758
105,50,Alternating,H,3,40.87,1.646,0.672,1069.972,25.975
105,50,Alternating,V,3,40.922,1.446,0.59,1083.035,25.713
105,50,Normal,H,3,41.306,0.899,0.367,1116.204,25.065
105,50,Normal,V,3,41.432,0.592,0.242,1127.719,24.891
50,0,Baseline,H,3,15.579,0.932,0.381,616.133,17.141
50,0,Baseline,V,3,15.104,0.217,0.089,614.069,16.669
50,25,Alternating,H,3,15.731,0.781,0.319,618.14,17.276
50,25,Alternating,V,3,15.43,0.576,0.235,615.8,16.999
50,25,Normal,H,3,15.408,0.766,0.313,617.388,16.901
50,25,Normal,V,3,14.991,0.53,0.216,622.516,16.316
50,50,Alternating,H,3,14.477,0.642,0.262,610.898,16.065
50,50,Alternating,V,3,14.331,0.89,0.363,623.665,15.566
50,50,Normal,H,3,15.984,0.514,0.21,617.453,17.548
50,50,Normal,V,3,15.359,0.468,0.191,617.04,16.867
